"Country","Number_Ordered","Weapon","Weapon_Type","Date_Ordered","Date_Delivered","Number_Delivered","Comments"
"India","10.0","C-17A Globemaster-3","Heavy transport ac","2011.0","2013-2014","10","$4.1 b deal (offsets $1.1 b)"
"India","32.0","Mk-54 MAKO","ASW torpedo","2011.0","2013-2015","32","$86 m deal; for P-8I ASW aircraft"
"India","99.0","F414","Turbofan","2012.0","","","$800-900 m deal (incl 81 produced in India); for Tejas Mk-1A (LCA) combat aircraft produced in India; most assembled in India; selected but not yet ordered by end-2017"
". . ","21.0","RGM-84L Harpoon-2","Anti-ship MI/SSM","2012.0","2014","21","$200 m deal; AGM-84L version for P-8I ASW aircraft"
". . ","245.0","FIM-92 Stinger","Portable SAM","2013.0","","","FIM-92 Block-1 version for AH-64 combat helicopters"
". . ","542.0","AGM-114K HELLFIRE","Anti-tank missile","2015.0","","","AGM-114R-3 version; for AH-64 combat helicopters"
". . ","812.0","AGM-114L HELLFIRE","Anti-tank missile","2015.0","","","AGM-114L-3 version; for AH-64 combat helicopters"
". . ","15.0","CH-47F Chinook","Transport helicopter","2015.0","","","$1 b deal (part of $2.4 b deal); delivery planned 2019"
". . ","6.0","T-700","Turboshaft","2015.0","","","Spares for AH-64 combat helicopters"
". . ","12.0","APG-78 Longbow","Combat heli radar","2016.0","","","For AH-64E combat helicopters"
". . ","1.0","C-130J-30 Hercules","Transport aircraft","2016.0","","",""
". . ","12.0","RGM-84L Harpoon-2","Anti-ship MI/SSM","2016.0","","","Part of \u0163?82 m deal; UGM-84L version for Type-209 submarines"
". . ","24.0","TPE-331","Turboprop","2016.0","","","For 12 Do-228 MP aircraft from FRG"
". . ","1.0","C-17A Globemaster-3","Heavy transport ac","2017.0","","","Delivery planned 2018"
"Indonesia","75.0","AIM-9J/P Sidewinder","SRAAM","1986.0","1989-1991","75","AIM-9P version; for F-16A combat aircraft"
"Indonesia","12.0","F-16A","FGA aircraft","1986.0","1989-1990","12","$337 m 'Peace Bima-Sena' (offsets $52 m incl production of components for Indonesian and other F-16); incl 4 F-16B"
"Indonesia","76.0","CT7","Turboprop","1990.0","1993-2014","52","CT-7-9C3 version for 38 CN-235 transport and CN-235MPA MP aircraft produced in Indonesia"
"Indonesia","16.0","APG-66","Combat ac radar","1993.0","1996-1998","16","For 16 Hawk-200 combat aircraft from UK"
"Indonesia","16.0","APG-66","Combat ac radar","1996.0","1999-2007","16","For 16 Hawk-200 combat aircraft from UK; status of last 6 uncertain after US arms embargo during 1999-2006 against Indonesia"
"Indonesia","3.0","Bell-412","Helicopter","1996.0","1997","3","$4.2 m deal; NBell-412HP version; assembled from kits in Indonesia; no. could be 2"
"Indonesia","1.0","F-5E Tiger-2","FGA aircraft","1996.0","2006","1","Second-hand but modernized in USA; delivery embargoed by USA 1999-2006"
"Indonesia","12.0","TPE-331","Turboprop","1996.0","2005-2007","12","For 6 C-212 MP aircraft from Spain"
"Indonesia","2.0","TA-4J Skyhawk","Trainer aircraft","1998.0","1999","2","Second-hand; $0.14 m deal; modernized in New Zealand before delivery"
"Indonesia","8.0","Caterpillar-3516","Diesel engine","2000.0","2002-2005","8","For modernization of 4 Parchim (Patimura) corvettes"
"Indonesia","2.0","Caterpillar-3612","Diesel engine","2002.0","2003","2","For modernization of 1 Yani (Van Speijk) frigate"
"Indonesia","8.0","Caterpillar-3616","Diesel engine","2006.0","2007-2008","8","For modernization of 4 Yani (Van Speijk) frigates"
"Indonesia","25.0","Bell-412","Helicopter","2010.0","2012-2014","25","Bell-412EP version"
"Indonesia","2.0","Cessna-180 Skywagon","Light aircraft","2010.0","2011","2","Cessna-182 version"
"Indonesia","4.0","F100","Turbofan","2011.0","2014-2015","4","Second-hand; spares for F-16 combat aircraft"
"Indonesia","16.0","F404","Turbofan","2011.0","2013-2014","16","For 16 T-50 trainer/combat aircraft from South Korea"
"Indonesia","4.0","APG-78 Longbow","Combat heli radar","2012.0","","","For 4 AH-64E combat helicopters"
"Indonesia","24.0","F-16C","FGA aircraft","2012.0","2014-2017","24","Second-hand F-16C Block-25 delivered as aid but modernized before delivery to Block-52 version in $670-750 m deal; incl F-16D version (6 more delivered for spare parts only)"
"Indonesia","2.0","Model-300","Light helicopter","2012.0","2012","2","S-300C version; for training; option on 4 more"
"Indonesia","3.0","T-700","Turboshaft","2012.0","","","Spares for AH-64E combat helicopters"
"Indonesia","2.0","APS-143(V)","MP aircraft radar","2013.0","2014","2","For 2 CN-235MPA MP aircraft produced in Indonesia"
"Indonesia","4.0","Bonanza","Light aircraft","2013.0","2013","4","Bonanza G-36 version"
"Indonesia","3.0","Caterpillar-3126","Diesel engine","2013.0","2014","3","For 3 Bushmaster APC from Australia"
"Indonesia","180.0","FGM-148 Javelin","Anti-tank missile","2013.0","2014-2015","180","Javelin Block-1 version"
"Indonesia","140.0","AGM-114K HELLFIRE","Anti-tank missile","2014.0","2017","70","AGM-114R-3 version for AH-64E combat helicopters"
"Indonesia","8.0","AH-64E Apache Guardian","Combat helicopter","2014.0","2017","3","$500 m deal"
"Indonesia","2.0","Baron","Light transport ac.","2014.0","2015","2","G58 Baron version; for training"
"Indonesia","4.0","Bonanza","Light aircraft","2014.0","2015","4",""
"Indonesia","11.0","HELRAS","ASW sonar","2014.0","2017","2","For 11 AS565S (AS-565MBe) ASW helicopters from France"
"   ","1.0","King Air","Light transport ac","2016.0","2017","1","King Air-350i version; for VIP transport"
"   ","24.0","AAQ-33 Sniper","Aircraft EO system","2017.0","","","For F-16 combat aircraft"
"   ","36.0","AIM-120C AMRAAM","BVRAAM","2017.0","","",""
"   ","14.0","AIM-9X Sidewinder","SRAAM","2017.0","","",""
"Iraq","44.0","6V-53","Diesel engine","2004.0","2006","44","For 44 Talha APC from Pakistan"
"Iraq","43.0","ASV-150/M-1117","APC","2004.0","2004-2005","43","$50 m deal; incl 2 CP version"
"Iraq","19.0","ASV-150/M-1117","APC","2004.0","2005","19",""
"Iraq","3.0","C-130E Hercules","Transport aircraft","2004.0","2005","3","Second-hand; aid"
"Iraq","7.0","Comp Air-7SL","Light aircraft","2004.0","2004","7","Financed by UAE; assembled from kits in UAE"
"Iraq","16.0","Bell-205/UH-1 Huey-2","Helicopter","2005.0","2007","16","Iraqi UH-1H rebuilt to Huey-2"
"Iraq","11.0","Cessna-208 Caravan","Light transport ac","2005.0","2007-2009","11","Including 3 AC-208B armed version"
"Iraq","8500.0","HMMWV Up-Armoured","APV","2005.0","2006-2009","8500","Second-hand; aid; M-1114 version"
"Iraq","378.0","Cougar","APC","2006.0","2006-2007","378","$180 m deal; Iraqi Light Armored Vehicle (ILAV) or Badger version"
"Iraq","20.0","Cougar","APC","2006.0","2007","20","$7.8m deal; Iraqi Light Armoured Vehicle (ILAV) version"
"Iraq","50.0","M-113","APC","2006.0","2006-2007","50","Second-hand; aid"
"Iraq","1.0","TPS-77","Air search radar","2006.0","2009","1",""
"Iraq","20.0","Bell-206/OH-58","Light helicopter","2007.0","2008-2009","20","Incl 10 Second-hand OH-58C and 10 second-hand Bell-206B version; aid"
"Iraq","12.0","Cessna-172/T-41","Trainer/light ac","2007.0","2007-2009","12","Option on 6 more"
"Iraq","27.0","Cougar","APC","2007.0","2008","27","Iraqi Light Armoured Vehicle (ILAV) version"
"Iraq","1.0","King Air","Light transport ac","2007.0","2007","1","Part of $160 m deal; King Air-350ER version"
"Iraq","5.0","King Air-350 ISR","AGS aircraft","2007.0","2008","5","Part of $132 m 'Peace Dragon' deal"
"Iraq","20.0","AGM-114A HELLFIRE","Anti-tank missile","2008.0","2009","20","For AC-208B (Cessna-208) aircraft"
"Iraq","200.0","AGM-114L HELLFIRE","Anti-tank missile","2008.0","2012-2013","200","For Bell-407 helicopters"
"Iraq","122.0","ASV-150/M-1117","APC","2008.0","2008-2009","122",""
"Iraq","64.0","HMMWV Up-Armoured","APV","2008.0","2010","64","M-1151 and M-1152 version"
"Iraq","565.0","K-6 120mm","Mortar","2008.0","2009-2012","565","M-120 version"
"Iraq","20.0","M-113","APC","2008.0","2010","20","Probably Second-hand; incl 12 M-577A2 Command Post version"
"Iraq","140.0","M-1A1 Abrams","Tank","2008.0","2010-2012","140","Second-hand M-1A1 rebuilt to M-1A1AIM version; option on 140 more"
"Iraq","8.0","M-88A2 HERCULES","ARV","2008.0","2010","8",""
"Iraq","24.0","Bell-407","Light helicopter","2009.0","2012-2013","24","$60 m deal; armed version; option on 26 more"
"Iraq","3.0","Bell-407","Light helicopter","2009.0","2010","3","$6.9 m deal; T-407 trainer version"
"Iraq","6.0","C-130J-30 Hercules","Transport aircraft","2009.0","2012-2013","6","$293 m deal"
"Iraq","109.0","Cougar","APC","2009.0","2010","109","$59 m deal; Iraqi Light Armoured Vehicle (ILAV) version"
"Iraq","15.0","PC-9","Trainer aircraft","2009.0","2009-2010","15","Part of $257 m deal; T-6A version"
"Iraq","9.0","Swiftships-35","Patrol craft","2009.0","2010-2012","9","$181 m deal"
"Iraq","2.0","AMP-137","OPV","2010.0","2012","2","$70 m deal"
"Iraq","80.0","ASV-150/M-1117","APC","2010.0","2011-2013","80","$85 m deal; incl 8 command post version"
"Iraq","3.0","Bell-407","Light helicopter","2010.0","2011","3",""
"Iraq","44.0","M-109A5 155mm","Self-propelled gun","2010.0","2011","44","Second-hand"
"Iraq","834.0","M-113","APC","2010.0","2011-2013","834","Second-hand but modernized before delivery; aid; M-113A2 version; incl command post, mortar-carrier, ambulance and other versions"
"Iraq","120.0","M-198 155mm","Towed gun","2010.0","2011-2013","120","Second-hand; aid"
"Iraq","21.0","M-88","ARV","2010.0","2011","21","Second-hand but modernized before delivery; aid; M-88A1 version"
"Iraq","50.0","AGM-65 Maverick","ASM","2011.0","2015","50",""
"Iraq","150.0","AIM-7M Sparrow","BVRAAM","2011.0","2015-2016","150",""
"Iraq","100.0","AIM-9L Sidewinder","SRAAM","2011.0","2015","100","Possibly incl AIM-9M version"
"Iraq","9.0","Cougar","APC","2011.0","2012","9","ILAV version"
"Iraq","18.0","F-16C Block-50/52","FGA aircraft","2011.0","2014-2015","18","Part of $3 b deal; F-16C Block-52 or F-16IQ version (incl 6 F-16D)"
"Iraq","300.0","Paveway","Guided bomb","2011.0","2015","300","Incl 50 GBU-10, 50 GBU-24 and 200 GBU-12 Paveway-2 versions"
"Iraq","3.0","Swiftships-35","Patrol craft","2011.0","2013","3","$42 m deal; option on 3 more"
"Iraq","1.0","TPS-77","Air search radar","2011.0","2013","1","$26 m deal; designation uncertain"
"Iraq","20.0","AAQ-33 Sniper","Aircraft EO system","2012.0","2015","20","$32 m deal"
"Iraq","4.0","APG-68","Combat ac radar","2012.0","2015","4","AN/APG-68(V)9 version; spares for F-16 combat aircraft"
"Iraq","8.0","Avenger","Mobile AD system","2012.0","2013-2014","8","Part of $105 m deal; 'ISFF' aid"
"Iraq","4.0","DB-110","Aircraft recce system","2012.0","2015-2016","4","$71 m deal; for use on F-16 combat aircraft"
"Iraq","200.0","FIM-92 Stinger","Portable SAM","2012.0","2013-2014","200","For Avenger SAM systems"
"Iraq","8.0","M-88A2 HERCULES","ARV","2012.0","2014","8","$32 m deal"
"Iraq","175.0","AGM-114L HELLFIRE","Anti-tank missile","2013.0","2013-2014","175",""
"Iraq","50.0","AGM-65 Maverick","ASM","2013.0","2016","50",""
"Iraq","150.0","AIM-7M Sparrow","BVRAAM","2013.0","2016-2017","150",""
"Iraq","100.0","AIM-9L Sidewinder","SRAAM","2013.0","2016-2017","100","Possibly incl AIM-9M version"
"Iraq","18.0","F-16C Block-50/52","FGA aircraft","2013.0","2016-2017","18","$830 m deal; F-16C Block-52 or F-16IQ version"
"Iraq","24.0","F404","Turbofan","2013.0","2016","24","For 24 T-50 trainer/combat aircraft from South Korea"
"Iraq","24.0","F404","Turbofan","2013.0","2016","24","For 24 T-50 trainer/combat aircraft from South Korea"
"Iraq","13.0","MPQ-64 Sentinel","Air search radar","2013.0","2013-2014","13",""
"Iraq","300.0","Paveway","Guided bomb","2013.0","2016-2017","300","Incl 50 GBU-10, 50 GBU-24 and 200 GBU-12 Paveway-2 versions"
"Iraq","10.0","ScanEagle","UAV","2013.0","2014","10",""
"Iraq","5000.0","AGM-114K HELLFIRE","Anti-tank missile","2014.0","2015-2017","5000","AGM-114K, AGM-114N and AGM-114R versions"
"Iraq","1500.0","AGM-114L HELLFIRE","Anti-tank missile","2014.0","2014","1500","Aid against Islamic States rebels"
"Iraq","16.0","Bell-407","Light helicopter","2014.0","2015","16","Armed version"
"Iraq","17.0","Caiman","APC","2014.0","2014-2015","17","Second-hand; aid for Iraqi Government and Kurdish Regional Government against Islamic State rebels"
"Iraq","250.0","Caiman","APC","2014.0","2014-2015","250","Second-hand; aid"
"Iraq","1000.0","HMMWV Up-Armoured","APV","2014.0","2015-2017","1000",""
"Iraq","2620.0","HMMWV Up-Armoured","APV","2014.0","2015-2017","2620","Possibly second-hand; aid"
"Iraq","1.0","King Air-350 ISR","AGS aircraft","2014.0","2016","1","Part of $27-35 m deal; King Air-350ER version"
"Iraq","6.0","M-1A1 Abrams","Tank","2014.0","2015","6","Second-hand; aid"
"Iraq","8.0","M-88A2 HERCULES","ARV","2014.0","2015","8","Second-hand; aid"
"Iraq","29.0","Cougar","APC","2015.0","2015","29","Aid; second-hand"
"Iraq","100.0","K-6 120mm","Mortar","2015.0","2015-2016","100","Possibly second-hand; designation uncertain (reported as '120mm mortar')"
"Iraq","50.0","MaxxPro","APC","2015.0","2015","50","Second-hand; aid; mine-clearance version"
"Iraq","2000.0","WGU-59 APKWS","ASM","2015.0","2016-2017","1150",""
"Iraq","60.0","ASV-150/M-1117","APC","2016.0","2016","60","$66 m deal; Commando Select version; incl 4 command post version"
"Iraq","24.0","M-198 155mm","Towed gun","2016.0","2017","24","Second-hand; aid"
"Iraq","134.0","HMMWV Up-Armoured","APV","2017.0","2017","134","M-1151A1B1 version; for Kurdish Regional Government forces"
"Ireland","4.0","CT7","Turboprop","1991.0","1994","4","For 2 CN-235MP MP aircraft from Spain; CT-7-9C3 version"
"Ireland","36.0","FGM-148 Javelin","Anti-tank missile","2002.0","2006","36","$12.5 m deal"
"Ireland","2.0","APS-143(V)","MP aircraft radar","2006.0","2007-2008","2","Part of EUR12.5 m deal for modernization of 2 CN-235 MP aircraft"
"Israel","50.0","F-16I","FGA aircraft","1999.0","2004-2006","50","$2.5 b 'Peace Marble-5 Phase-1' deal (financed by US 'FMF' aid; offsets 25% incl production of components in Israel); Israeli designation Suefa"
"Israel","52.0","F-16I","FGA aircraft","2001.0","2006-2009","52","$2 b 'Peace Marble-5 Phase-2' deal (incl $1.3 b for aircraft and $300 m for engines; offsets $800 m incl production of components in Israel); Israeli designation Suefa"
"Israel","19.0","F-35A JSF","FGA aircraft","2010.0","2016-2017","9","$2.7 b deal (incl production of components in Israel); F-35I version; delivery planned 2016-2018"
"Israel","386.0","Namer","APC/IFV","2011.0","2014-2017","97","Designed in Israel but produced in USA for Israel"
